Rank	Taxon	Count
genus	28100	2
genus	28105	4
genus	28138	1
genus	28186	1
genus	28194	1
genus	28196	8
genus	28209	1
genus	28219	1
genus	28222	4
genus	28228	5
genus	28231	8
genus	28233	1
genus	28236	2
genus	28250	1
genus	28253	7
genus	28261	3
genus	28263	4
genus	28443	1
genus	28453	15
genus	28884	2
genus	28895	2
genus	28905	1
genus	29287	3
genus	29298	1
genus	29330	11
genus	29331	2
genus	29393	1
genus	29404	1
genus	29407	1
genus	29417	1
genus	29465	8
genus	29487	1
genus	29521	5
genus	29526	2
genus	29548	1
genus	29574	2
genus	29580	5
genus	31980	1
genus	31983	2
genus	31988	2
genus	32008	7
genus	32012	4
genus	32067	6
genus	32068	1
genus	32199	8
genus	32205	2
genus	32207	3
genus	32257	3
genus	32636	2
genus	33001	1
genus	33024	4
genus	33042	7
genus	33055	5
genus	33057	4
genus	33071	2
genus	33073	1
genus	33870	1
genus	33874	1
genus	33877	4
genus	33882	34
genus	33886	3
genus	33926	10
genus	33951	3
genus	33969	1
genus	33973	2
genus	33976	1
genus	33981	1
genus	33983	1
genus	33986	9
genus	33993	4
genus	34000	1
genus	34008	2
genus	34019	19
genus	34023	1
genus	34037	1
genus	34067	2
genus	34072	2
genus	34084	2
genus	34093	1
genus	34096	1
genus	34098	8
genus	34102	1
genus	34104	5
genus	35750	1
genus	35753	1
genus	35796	1
genus	35798	6
genus	35800	6
genus	35823	8
genus	35829	2
genus	35832	1
genus	35836	1
genus	35838	1
genus	36739	1
genus	36853	6
genus	36862	2
genus	37817	1
genus	37914	3
genus	37924	2
genus	38501	3
genus	39643	1
genus	39773	3
genus	39845	3
genus	39948	7
genus	40118	1
genus	40136	1
genus	40222	7
genus	40323	10
genus	40413	1
genus	40544	6
genus	40566	1
genus	40751	1
genus	40840	1
genus	41201	1
genus	41273	1
genus	41275	10
genus	41707	3
genus	41949	1
genus	41980	10
genus	42054	2
genus	42255	3
genus	42417	1
genus	42447	1
genus	42837	1
genus	43356	2
genus	43668	5
genus	43673	2
genus	43676	1
genus	43773	3
genus	43927	1
genus	43947	1
genus	43988	7
genus	43994	1
genus	43996	1
genus	44000	9
genus	44011	4
genus	44013	4
genus	44249	80
genus	44258	3
genus	44259	1
genus	44260	2
genus	44261	1
genus	44471	2
genus	44474	2
genus	44675	1
genus	44747	2
genus	44748	1
genus	44937	4
genus	45247	1
genus	45662	1
genus	45667	5
genus	45669	6
genus	45989	15
genus	46123	1
genus	46200	1
genus	46205	8
genus	46238	2
genus	46254	51
genus	46255	17
genus	46352	1
genus	46468	1
genus	46631	1
genus	46769	1
genus	46913	11
genus	47054	1
genus	47251	9
genus	47420	2
genus	47670	1
genus	48073	2
genus	48075	5
genus	48736	5
genus	49082	12
genus	49184	1
genus	49277	5
genus	49279	1
genus	49894	4
genus	50056	1
genus	50709	2
genus	50714	1
genus	51194	1
genus	51196	1
genus	51228	2
genus	51366	10
genus	51668	2
genus	52225	2
genus	52605	1
genus	52607	1
genus	52959	7
genus	52972	3
