genome	kingdom	phylum	class	order	family	genus	species
G000022025	2	201174	1760	85006	1268	1742993	85085
G000022045	2	1117	0	1150	1892249	43988	395961
G000022065	2	1239	186801	186802	541000	1508657	1521
G000022085	2	1224	28211	356	119045	407	114616
G000022125	2	1224	28221	213115	194924	872	876
G000022145	2	1224	28221	29	1524215	161492	161493
G000022185	2	200795	32061	32064	1106	1107	480224
G000022205	2157	28890	183963	1644055	1963271	56688	2247
G000022265	2	1224	28221	69541	213422	28231	1203471
G000022305	2	1224	28216	80840	80864	12916	721785
G000022325	2	1239	186801	68295	543371	44000	31899
G000022365	2157	28890	183968	2258	2259	2263	187878
G000022385	2157	28889	183924	2281	118883	2284	43080
G000022405	2157	28889	183924	2281	118883	2284	43080
G000022425	2157	28889	183924	2281	118883	2284	43080
G000022445	2157	28889	183924	2281	118883	2284	43080
G000022465	2157	28889	183924	2281	118883	2284	43080
G000022485	2157	28889	183924	2281	118883	2284	43080
G000022525	2	1224	28211	766	942	33993	950
G000022545	2157	28890	183968	2258	2259	2263	172049
G000022565	2	57723	204432	204433	204434	33973	33075
G000022605	2	976	117743	200644	39782	34098	624186
G000022725	2	1224	28211	356	772	773	33045
G000022885	2	1224	1236	91347	1903412	635	67780
G000022905	2	201174	1760	85007	1653	1716	169292
G000022965	2	201174	1760	85004	31953	1678	28025
G000023025	2	1224	1236	1706369	1706371	2425	2426
G000023065	2	1224	1236	135624	84642	43947	43948
G000023105	2	201174	1760	85006	125316	84756	84757
G000023125	2	976	768503	768507	89373	120831	94254
G000023145	2	201174	1760	85007	1653	1716	161879
G000023205	2	201174	1760	85006	1268	1269	1270
G000023225	2	1224	28221	213115	213116	898	899
G000023245	2	201174	1760	85010	2070	40566	40567
G000023265	2	201174	84992	84993	84994	53634	53635
G000023285	2	976	117743	200644	49546	1016	1018
G000023325	2	200918	188708	1643946	1643948	651456	651457
G000023405	2	201174	1760	85006	85020	43668	43669
G000023445	2	1224	28221	213115	194924	872	880
G000023465	2	976	117743	200644	49546	417127	398743
G000023585	2	1239	91061	1385	186822	44249	324057
G000023605	2	1224	1236	91347	1903410	122277	554
G000023705	2	1224	28216	206350	32011	359407	359408
G000023725	2	976	117743	200644	49546	0	531844
G000023745	2	1224	28216	206350	32011	81682	266009
G000023765	2	1224	28211	356	82115	34019	34021
G000023785	2	1224	28211	204455	69657	2723	2724
G000023825	2	976	117747	200666	84566	84567	984
G000023845	2	201174	84998	1643822	1643826	84162	84163
G000023865	2	201174	1760	85010	2070	1851	1852
G000023885	2	201174	84998	1643822	1643826	84108	84110
G000023905	2	32066	203490	203491	1129771	32067	40542
G000023925	2	201174	1760	85006	145357	57499	1276
G000023945	2157	28890	183963	2235	1963268	146825	146826
G000023965	2157	28890	183963	2235	1963268	203135	57705
G000023985	2157	28890	183939	2182	196117	196118	83171
G000024005	2	976	1853228	1853229	563835	79328	79329
G000024025	2	201174	1760	414714	414877	414878	304895
G000024065	2	201174	1760	85006	85022	43673	43674
G000024085	2	1224	1236	135619	1920240	261963	261964
G000024105	2	1239	1737404	1737405	1570339	165779	33034
G000024125	2	976	117743	200644	49546	252306	252307
G000024145	2	204428	204429	51291	809	810	83558
G000024165	2	1224	28216	0	0	327159	327160
G000024185	2157	28890	183925	2158	2159	2172	83816
G000024205	2	1239	186801	186802	186807	1562	58138
G000024225	2	201174	84998	84999	1643824	1380	1382
G000024265	2	201174	84998	1643822	1643826	84111	84112
G000024285	2	1239	91061	1385	186823	29330	405212
G000024305	2157	28889	183924	2281	118883	2284	43080
G000024325	2	1224	28221	213115	213117	45662	45663
G000024345	2	201174	1760	85009	85015	182639	182640
G000024365	2	201174	1760	1643684	85031	53460	53461
G000024385	2	201174	1760	85012	2012	2019	2020
G000024405	2	32066	203490	203491	1129771	32068	826
G000024465	2	1224	28211	0	0	767891	767892
G000024505	2	1224	28211	766	942	768	769
G000024525	2	976	768503	768507	89373	107	108
G000024545	2	201174	1760	85014	85034	283810	283811
G000024565	2	32066	203490	203491	1129771	34104	34105
G000024605	2	1239	186801	68295	186814	42837	42838
G000024625	2157	28890	183939	2182	196117	196118	73913
G000024665	2	65842	204430	218872	204431	832	833
G000024725	2	1224	1236	135613	1046	1227	133539
G000024745	2157	28889	183924	2281	118883	2284	2287
G000024765	2	1224	1236	135613	255526	109262	927
G000024785	2	201174	1760	85007	85026	2053	2054
G000024805	2	1224	28221	29	224464	162027	80816
G000024845	2	976	0	1100069	563843	29548	29549
G000024865	2	201174	1760	85012	2004	2000	2001
G000024885	2	1224	29547	213849	72294	57665	65553
G000024905	2	508458	649775	649776	649777	81461	81462
G000024925	2	201174	1760	85006	145360	60919	60920
G000024945	2	1239	909932	1843489	31977	29465	29466
G000024965	2	201174	1760	85006	85017	186188	186189
G000024985	2	200795	189775	85001	85002	2056	2057
G000025005	2	0	0	0	0	262406	166501
G000025025	2	200795	301297	1202465	1202464	61434	61435
G000025085	2	1239	91061	1385	90964	1279	28035
G000025105	2	200918	188708	2419	188709	2335	93930
G000025125	2	1117	0	1118	1890450	1453359	713887
G000025185	2	203682	203683	112	126	123	125
G000025205	2	201174	1760	85004	31953	2701	2702
G000025225	2	1239	186801	186802	541000	1637257	884684
G000025265	2	201174	1497346	588673	320583	191494	191495
G000025285	2157	28890	183980	2231	2232	2233	84156
G000025305	2	1239	909932	1843488	909930	904	905
G000025325	2157	28890	183963	1644060	1644061	121871	62320
G000025345	2	201174	1760	1643682	85030	1860	1861
G000025405	2	1224	1236	91347	1903409	53335	553
G000025485	2	1224	1236	135613	1046	85072	1049
G000025505	2157	28890	183980	2231	2232	54260	54261
G000025525	2157	28890	183939	2182	196117	196118	644281
G000025565	2	1224	1236	91347	543	547	550
G000025585	2	200795	301297	1202465	1202464	61434	61435
G000025605	2	200783	187857	32069	64898	75905	136094
G000025625	2157	28890	183963	1644060	1644061	63742	13769
G000025645	2	1239	186801	68295	186814	1754	108150
G000025665	2157	28890	0	0	0	379546	379547
G000025685	2157	28890	183963	1644055	1644056	2251	2246
G000025705	2	1224	28216	713636	90627	314343	63745
G000025725	2	200930	68337	191393	191394	117999	118000
G000025865	2157	28890	224756	94695	2206	2175	2176
G000025885	2	508458	649775	649776	649777	81466	81468
G000025905	2	74201	414999	415001	415002	442430	395922
G000025925	2	976	200643	171549	171552	838	839
G000025945	2	1224	28221	213118	213121	109168	84980
